Domain,Method,Path,Auth,Component,Type,User,Description (TH),Description (EN)
,,,,,,,,
# ═══════════════════════════════════════════════════════════════════════,,,,,,,,
# moph-meet.moph.go.th — Web App + REST API,,,,,,,,
# ═══════════════════════════════════════════════════════════════════════,,,,,,,,
,,,,,,,,
# ── Web Pages (user-app-lite SSR) ──,,,,,,,,
moph-meet.moph.go.th,GET,/login,None,user-app-lite,Page,แพทย์,หน้า Login ProviderID,Login page with ProviderID button
moph-meet.moph.go.th,GET,/,Session,user-app-lite,Page,แพทย์,Dashboard — รายการห้องประชุม/ตรวจ,Dashboard — list of meeting/exam rooms
moph-meet.moph.go.th,GET,/room/:id,Session,user-app-lite,Page,แพทย์,ห้องประชุม (Meet) — Jitsi embed,Meeting room with Jitsi embed
moph-meet.moph.go.th,GET,/exam/:id,Session,user-app-lite,Page,แพทย์,ห้องตรวจ (Exam) — Jitsi + คิวคนไข้,Exam room with Jitsi + patient queue
moph-meet.moph.go.th,GET,/queue/:id,JWT (query),user-app-lite,Page,คนไข้,ห้องรอคิว — คนไข้รอแพทย์เรียก,Patient waiting room / queue
moph-meet.moph.go.th,GET,/auth/providerid/callback,None,user-app-lite,Callback,ระบบ,OAuth2 callback จาก moph.id.th,OAuth2 redirect callback from ProviderID
moph-meet.moph.go.th,GET,/guest,Token (query),user-app-lite,Page,คนไข้,Guest login (token-based),Guest login page with pre-shared token
moph-meet.moph.go.th,POST,/logout,Session,user-app-lite,Action,แพทย์,ออกจากระบบ,Logout and destroy session
,,,,,,,,
# ── REST API (core-lite) ──,,,,,,,,
moph-meet.moph.go.th,GET,/api/health,None,core-lite,API,ระบบ,Health check,Health check endpoint
moph-meet.moph.go.th,POST,/api/auth/providerID,None,core-lite,API,ระบบ,ProviderID OAuth2 code exchange,Exchange OAuth2 code for session token
moph-meet.moph.go.th,POST,/api/auth/guest,Token,core-lite,API,คนไข้,Guest auth (pre-shared token),Guest/patient auth via pre-shared token
moph-meet.moph.go.th,POST,/api/auth/check,Token,core-lite,API,ระบบ,ตรวจสอบ session token,Validate session token
moph-meet.moph.go.th,POST,/api/logout,Token,core-lite,API,แพทย์,ลบ session,Destroy session from SQLite
moph-meet.moph.go.th,GET,/api/meets,Bearer,core-lite,API,แพทย์,รายการห้องของ user,List rooms for current user
moph-meet.moph.go.th,POST,/api/rooms,Bearer,core-lite,API,แพทย์,สร้างห้อง (meet/exam),Create meeting or exam room
moph-meet.moph.go.th,GET,/api/rooms/:id,Bearer,core-lite,API,แพทย์,ข้อมูลห้อง + auto-join,Get room details and auto-join provider
moph-meet.moph.go.th,POST,/api/rooms/:id/join,Bearer,core-lite,API,แพทย์,เข้าร่วมห้อง,Explicitly join room as provider
moph-meet.moph.go.th,GET,/api/exam/:id/queue,JWT (query),core-lite,API,คนไข้,Poll สถานะคิว (ทุก 3-5 วินาที),Patient queue poll — register + status check
moph-meet.moph.go.th,GET,/api/exam/:id/doctor,Bearer,core-lite,API,แพทย์,ข้อมูลห้องตรวจสำหรับแพทย์,Doctor view of exam room
moph-meet.moph.go.th,POST,/api/exam/:id/next,Bearer,core-lite,API,แพทย์,เรียกคนไข้ถัดไป,Admit next patient from queue
